"id_partido","temporada","torneo","equipo","rival","posesion","momentum","pases","pases_ultimo_tercio","pases_area_rival","pases_entre_lineas","grandes_ocasiones","remates_al_arco","xG","xGOT","condicion"
1,2015,"Apertura","Deportivo Pasto","Once Caldas",55,50.6,426,81,8,7,2,3,0.85,0.71,"Local"
1,2015,"Apertura","Once Caldas","Deportivo Pasto",45,49.4,309,66,8,6,0,1,0.06,0.07,"Visitante"
2,2015,"Apertura","America de Cali","Junior",41.1,35.7,322,68,24,9,4,6,1.75,2.01,"Local"
2,2015,"Apertura","Junior","America de Cali",58.9,64.3,456,86,16,4,1,0,0.33,0.32,"Visitante"
3,2015,"Apertura","Boyaca Chico","Atletico Bucaramanga",51.9,49.2,381,88,11,6,2,4,0.93,1.02,"Local"
3,2015,"Apertura","Atletico Bucaramanga","Boyaca Chico",48.1,50.8,361,71,9,4,1,3,0.57,0.63,"Visitante"
4,2015,"Apertura","Independiente Medellin","Santa Fe",50.6,50.6,436,96,11,4,0,2,0.13,0.15,"Local"
4,2015,"Apertura","Santa Fe","Independiente Medellin",49.4,49.4,342,69,9,6,0,4,0.22,0.23,"Visitante"
5,2015,"Apertura","Jaguares","Deportivo Cali",64.9,68.8,481,96,26,4,3,4,1.31,1.2,"Local"
5,2015,"Apertura","Deportivo Cali","Jaguares",35.1,31.2,267,47,8,8,0,2,0.13,0.14,"Visitante"
6,2015,"Apertura","Deportes Tolima","Boyaca Chico",55.9,76.2,442,100,26,5,1,7,0.73,0.84,"Local"
6,2015,"Apertura","Boyaca Chico","Deportes Tolima",44.1,23.8,337,65,12,6,2,3,0.84,0.75,"Visitante"
7,2015,"Apertura","La Equidad","Deportes Tolima",51.1,56,403,88,8,7,0,3,0.26,0.29,"Local"
7,2015,"Apertura","Deportes Tolima","La Equidad",48.9,44,359,77,14,3,1,4,0.61,0.51,"Visitante"
8,2015,"Apertura","Boyaca Chico","La Equidad",41.4,45.4,319,76,25,11,3,5,1.31,0.94,"Local"
8,2015,"Apertura","La Equidad","Boyaca Chico",58.6,54.6,425,90,17,7,1,4,0.61,0.67,"Visitante"
9,2015,"Apertura","Deportivo Pereira","Patriotas",51.9,52.4,421,96,9,4,2,2,0.76,0.84,"Local"
9,2015,"Apertura","Patriotas","Deportivo Pereira",48.1,47.6,379,77,11,6,2,2,0.79,0.59,"Visitante"
10,2015,"Apertura","Fortaleza CEIF","Jaguares",63,79.6,458,100,22,6,2,7,1.2,1.25,"Local"
10,2015,"Apertura","Jaguares","Fortaleza CEIF",37,20.4,264,58,7,4,2,3,0.89,0.71,"Visitante"
11,2015,"Apertura","Boyaca Chico","Deportivo Pasto",55.5,54.9,382,85,10,5,0,2,0.11,0.1,"Local"
