"id_partido","temporada","torneo","equipo","rival","posesion","momentum","pases","pases_ultimo_tercio","pases_area_rival","pases_entre_lineas","grandes_ocasiones","remates_al_arco","xG","xGOT","condicion"
1,2006,"Serie A","Cuiaba","Flamengo",69.8,87.5,567,140,37,9,3,8,2.01,2.01,"Local"
1,2006,"Serie A","Flamengo","Cuiaba",30.2,12.5,236,58,12,7,2,3,0.91,0.83,"Visitante"
2,2006,"Serie A","Atletico Mineiro","Corinthians",42.2,41.2,363,97,40,22,4,4,1.9,2.16,"Local"
2,2006,"Serie A","Corinthians","Atletico Mineiro",57.8,58.8,462,109,21,8,2,4,1.03,0.84,"Visitante"
3,2006,"Serie A","Flamengo","Botafogo",65.2,70.9,546,127,41,8,3,9,1.98,2.41,"Local"
3,2006,"Serie A","Botafogo","Flamengo",34.8,29.1,296,57,13,12,3,5,1.6,1.98,"Visitante"
4,2006,"Serie A","Cruzeiro","Flamengo",56.5,51.7,523,135,21,8,2,4,1.06,1.29,"Local"
4,2006,"Serie A","Flamengo","Cruzeiro",43.5,48.3,378,85,17,10,0,4,0.25,0.21,"Visitante"
5,2006,"Serie A","Corinthians","Fortaleza",34.9,37,346,89,35,17,4,6,2.09,2.68,"Local"
5,2006,"Serie A","Fortaleza","Corinthians",65.1,63,552,130,25,10,0,6,0.56,0.43,"Visitante"
6,2006,"Serie A","Goias","Athletico Paranaense",67.1,72,541,153,48,9,4,7,2.21,2.6,"Local"
6,2006,"Serie A","Athletico Paranaense","Goias",32.9,28,274,63,12,8,0,1,0.07,0.07,"Visitante"
7,2006,"Serie A","Cuiaba","Atletico Mineiro",66.4,73.3,516,127,39,10,4,7,2.11,1.86,"Local"
7,2006,"Serie A","Atletico Mineiro","Cuiaba",33.6,26.7,292,58,11,9,1,4,0.72,0.89,"Visitante"
8,2006,"Serie A","Vasco da Gama","Santos",59.7,57.9,465,109,16,8,2,3,1.06,1.02,"Local"
8,2006,"Serie A","Santos","Vasco da Gama",40.3,42.1,358,77,15,5,0,4,0.4,0.35,"Visitante"
9,2006,"Serie A","Internacional","Cruzeiro",69.7,78.1,563,135,39,8,4,8,2.22,1.83,"Local"
9,2006,"Serie A","Cruzeiro","Internacional",30.3,21.9,248,60,12,12,2,4,1.04,1.25,"Visitante"
10,2006,"Serie A","Corinthians","Cuiaba",43.1,34.4,318,81,32,18,4,6,2.11,2.31,"Local"
10,2006,"Serie A","Cuiaba","Corinthians",56.9,65.6,503,123,29,7,1,4,0.77,0.82,"Visitante"
11,2006,"Serie A","Atletico Mineiro","Fortaleza",64.3,78.4,553,139,37,10,2,7,1.45,1.22,"Local"
11,2006,"Serie A","Fortaleza","Atletico Mineiro",35.7,21.6,302,67,11,8,1,6,0.76,0.82,"Visitante"
12,2006,"Serie A","Fortaleza","Fluminense",58.3,69.9,515,119,35,9,1,8,0.97,1.19,"Local"
12,2006,"Serie A","Fluminense","Fortaleza",41.7,30.1,338,75,14,11,1,3,0.66,0.55,"Visitante"
13,2006,"Serie A","America Mineiro","Corinthians",52.7,51.9,464,123,15,10,1,3,0.7,0.66,"Local"
13,2006,"Serie A","Corinthians","America Mineiro",47.3,48.1,438,94,15,8,3,3,1.31,1.35,"Visitante"
14,2006,"Serie A","Goias","Fortaleza",63.3,71.4,544,127,38,7,2,6,1.39,1.8,"Local"
14,2006,"Serie A","Fortaleza","Goias",36.7,28.6,265,61,12,6,3,4,1.48,1.8,"Visitante"
15,2006,"Serie A","Vasco da Gama","Fortaleza",41.1,40.9,349,98,35,16,3,5,1.44,1.16,"Local"
15,2006,"Serie A","Fortaleza","Vasco da Gama",58.9,59.1,502,96,19,8,0,6,0.59,0.64,"Visitante"
16,2006,"Serie A","Sao Paulo","Palmeiras",42.2,32.2,321,81,30,16,3,5,1.54,1.62,"Local"
16,2006,"Serie A","Palmeiras","Sao Paulo",57.8,67.8,489,115,19,8,3,2,1.26,1.11,"Visitante"
17,2006,"Serie A","Botafogo","Santos",66,70,549,158,47,10,4,7,2.06,1.94,"Local"
17,2006,"Serie A","Santos","Botafogo",34,30,282,64,13,12,1,5,0.84,1.03,"Visitante"
18,2006,"Serie A","Corinthians","Coritiba",35.9,31.2,310,86,28,15,3,6,1.75,2.03,"Local"
18,2006,"Serie A","Coritiba","Corinthians",64.1,68.8,542,132,25,7,1,3,0.66,0.64,"Visitante"
19,2006,"Serie A","Atletico Mineiro","Corinthians",37.9,37.3,344,94,33,18,2,4,1.17,1.04,"Local"
19,2006,"Serie A","Corinthians","Atletico Mineiro",62.1,62.7,482,104,19,9,1,5,0.9,0.85,"Visitante"
20,2006,"Serie A","Bahia","Santos",56.4,52,534,143,18,9,1,5,0.86,0.88,"Local"
20,2006,"Serie A","Santos","Bahia",43.6,48,373,90,21,8,0,5,0.31,0.3,"Visitante"
21,2006,"Serie A","Atletico Mineiro","Coritiba",61.6,70.5,591,162,45,9,1,7,1.03,1.21,"Local"
21,2006,"Serie A","Coritiba","Atletico Mineiro",38.4,29.5,362,85,16,10,2,4,0.99,1.22,"Visitante"
22,2006,"Serie A","America Mineiro","Internacional",42,40.6,360,87,36,16,5,4,2.18,2.65,"Local"
22,2006,"Serie A","Internacional","America Mineiro",58,59.4,496,122,26,8,3,6,1.54,1.54,"Visitante"
23,2006,"Serie A","Palmeiras","Corinthians",37.2,31.5,320,75,26,16,2,5,1.26,1.26,"Local"
23,2006,"Serie A","Corinthians","Palmeiras",62.8,68.5,517,102,18,9,3,2,1.25,1.33,"Visitante"
24,2006,"Serie A","Fluminense","Vasco da Gama",40.6,30.9,315,80,30,15,4,5,1.83,2.17,"Local"
24,2006,"Serie A","Vasco da Gama","Fluminense",59.4,69.1,497,98,21,11,0,5,0.52,0.53,"Visitante"
25,2006,"Serie A","Sao Paulo","Santos",58,53.5,451,109,16,8,0,4,0.33,0.41,"Local"
25,2006,"Serie A","Santos","Sao Paulo",42,46.5,363,90,18,9,2,3,0.98,0.89,"Visitante"
26,2006,"Serie A","Flamengo","Coritiba",52.3,50,494,141,19,8,1,2,0.6,0.63,"Local"
26,2006,"Serie A","Coritiba","Flamengo",47.7,50,423,105,21,11,0,5,0.54,0.6,"Visitante"
27,2006,"Serie A","Cruzeiro","Coritiba",56.8,51.2,503,123,15,8,0,3,0.25,0.26,"Local"
27,2006,"Serie A","Coritiba","Cruzeiro",43.2,48.8,346,69,16,11,0,4,0.31,0.35,"Visitante"
28,2006,"Serie A","Santos","Bahia",58.1,53.9,483,122,17,8,0,4,0.43,0.53,"Local"
28,2006,"Serie A","Bahia","Santos",41.9,46.1,352,79,13,7,1,3,0.54,0.6,"Visitante"
29,2006,"Serie A","Vasco da Gama","Flamengo",43.7,28.8,319,81,33,16,5,6,2.33,2.7,"Local"
29,2006,"Serie A","Flamengo","Vasco da Gama",56.3,71.2,459,94,19,11,2,3,1.02,1.06,"Visitante"
30,2006,"Serie A","Fluminense","Goias",34.4,31.4,282,74,29,16,5,4,2.28,2.57,"Local"
30,2006,"Serie A","Goias","Fluminense",65.6,68.6,589,128,25,8,0,5,0.43,0.53,"Visitante"
31,2006,"Serie A","Corinthians","Cruzeiro",53.7,57.1,513,131,15,10,1,4,0.83,0.79,"Local"
31,2006,"Serie A","Cruzeiro","Corinthians",46.3,42.9,342,76,18,8,3,4,1.49,1.15,"Visitante"
32,2006,"Serie A","Corinthians","Cuiaba",63.5,74.4,614,178,47,9,3,8,1.83,2.28,"Local"
32,2006,"Serie A","Cuiaba","Corinthians",36.5,25.6,295,59,14,7,1,5,0.76,0.86,"Visitante"
33,2006,"Serie A","Goias","Cruzeiro",55.9,53.7,477,114,17,9,0,3,0.27,0.26,"Local"
33,2006,"Serie A","Cruzeiro","Goias",44.1,46.3,361,78,14,12,1,3,0.61,0.73,"Visitante"
34,2006,"Serie A","Bahia","Corinthians",40.5,33.7,333,86,30,18,5,6,2.41,2.29,"Local"
34,2006,"Serie A","Corinthians","Bahia",59.5,66.3,502,110,22,10,0,2,0.13,0.14,"Visitante"
35,2006,"Serie A","Atletico Mineiro","Vasco da Gama",52,54.1,526,152,21,9,1,3,0.58,0.7,"Local"
35,2006,"Serie A","Vasco da Gama","Atletico Mineiro",48,45.9,391,96,22,12,1,4,0.62,0.62,"Visitante"
36,2006,"Serie A","Corinthians","America Mineiro",36.7,37.5,331,90,29,15,2,6,1.43,1.7,"Local"
36,2006,"Serie A","America Mineiro","Corinthians",63.3,62.5,514,115,24,10,0,4,0.25,0.28,"Visitante"
37,2006,"Serie A","Palmeiras","Gremio",70.6,69.8,520,125,38,11,3,8,1.81,1.99,"Local"
37,2006,"Serie A","Gremio","Palmeiras",29.4,30.2,271,54,13,11,2,3,0.95,0.97,"Visitante"
38,2006,"Serie A","Goias","Santos",34.3,35.5,327,85,35,17,3,8,1.93,1.7,"Local"
38,2006,"Serie A","Santos","Goias",65.7,64.5,539,126,30,9,0,5,0.49,0.51,"Visitante"
39,2006,"Serie A","Sao Paulo","Vasco da Gama",54.2,54.3,479,128,15,8,2,4,1.13,1.2,"Local"
39,2006,"Serie A","Vasco da Gama","Sao Paulo",45.8,45.7,397,94,18,12,3,4,1.39,1.14,"Visitante"
40,2006,"Serie A","Cuiaba","Cruzeiro",54.9,55,493,132,21,9,0,4,0.45,0.54,"Local"
40,2006,"Serie A","Cruzeiro","Cuiaba",45.1,45,373,77,16,11,1,3,0.67,0.69,"Visitante"
41,2006,"Serie A","Goias","Internacional",70.7,82.6,547,145,46,7,2,9,1.58,1.27,"Local"
41,2006,"Serie A","Internacional","Goias",29.3,17.4,237,58,12,11,1,4,0.69,0.59,"Visitante"
42,2006,"Serie A","Gremio","Santos",38.9,32.5,348,98,40,14,4,5,2.03,2.32,"Local"
42,2006,"Serie A","Santos","Gremio",61.1,67.5,486,96,18,9,1,4,0.66,0.8,"Visitante"
43,2006,"Serie A","Gremio","Atletico Mineiro",68.1,69.3,551,155,50,11,1,8,1.21,1.41,"Local"
43,2006,"Serie A","Atletico Mineiro","Gremio",31.9,30.7,285,60,13,8,0,5,0.31,0.25,"Visitante"
44,2006,"Serie A","Palmeiras","Santos",40.2,41.8,338,94,33,19,3,4,1.37,1.17,"Local"
44,2006,"Serie A","Santos","Palmeiras",59.8,58.2,532,119,27,7,0,6,0.45,0.49,"Visitante"
45,2006,"Serie A","America Mineiro","Cruzeiro",43,41.7,324,87,32,15,2,5,1.14,1.08,"Local"
45,2006,"Serie A","Cruzeiro","America Mineiro",57,58.3,436,108,18,9,2,4,1.02,1.22,"Visitante"
46,2006,"Serie A","Sao Paulo","Fluminense",53.6,52.9,520,144,18,10,0,3,0.28,0.36,"Local"
46,2006,"Serie A","Fluminense","Sao Paulo",46.4,47.1,370,77,16,6,0,4,0.34,0.33,"Visitante"
47,2006,"Serie A","Palmeiras","Fortaleza",68.2,81.7,547,143,47,10,3,7,1.58,1.49,"Local"
47,2006,"Serie A","Fortaleza","Palmeiras",31.8,18.3,253,59,10,9,2,4,1.02,1.05,"Visitante"
48,2006,"Serie A","Gremio","Athletico Paranaense",61.3,81,561,147,43,8,2,6,1.23,1.33,"Local"
48,2006,"Serie A","Athletico Paranaense","Gremio",38.7,19,314,78,16,6,2,3,0.95,1.08,"Visitante"
49,2006,"Serie A","Cruzeiro","Red Bull Bragantino",72,86.2,514,149,42,10,4,6,2.08,2.11,"Local"
49,2006,"Serie A","Red Bull Bragantino","Cruzeiro",28,13.8,214,46,9,10,1,5,0.88,0.94,"Visitante"
50,2006,"Serie A","Fluminense","Atletico Mineiro",41.3,37.3,355,89,37,16,5,4,2.19,2.1,"Local"
50,2006,"Serie A","Atletico Mineiro","Fluminense",58.7,62.7,492,104,25,8,3,5,1.43,1.39,"Visitante"
51,2006,"Serie A","Atletico Mineiro","Corinthians",34.9,37.3,314,89,32,18,3,6,1.73,2.21,"Local"
51,2006,"Serie A","Corinthians","Atletico Mineiro",65.1,62.7,542,111,24,11,0,4,0.27,0.28,"Visitante"
52,2006,"Serie A","Flamengo","Corinthians",66.7,84.6,619,144,48,8,2,8,1.34,1.66,"Local"
52,2006,"Serie A","Corinthians","Flamengo",33.3,15.4,280,54,11,6,2,2,0.93,0.74,"Visitante"
53,2006,"Serie A","Cuiaba","Corinthians",59,50.8,486,114,13,11,2,3,0.95,0.8,"Local"
53,2006,"Serie A","Corinthians","Cuiaba",41,49.2,371,92,22,3,0,4,0.31,0.37,"Visitante"
54,2006,"Serie A","Internacional","Fortaleza",66.4,73.7,545,132,39,5,2,5,1.27,1.43,"Local"
54,2006,"Serie A","Fortaleza","Internacional",33.6,26.3,294,68,14,8,0,2,0.22,0.19,"Visitante"
